ORPHAcode	PreferredTerm	Synonyms	ICDcodes
166024	Multiple epiphyseal dysplasia, Al-Gazali type		Q77.3
166024	Multiple epiphyseal dysplasia, Al-Gazali type	Multiple epiphyseal dysplasia-macrocephaly-distinctive facies syndrome	
58	Alexander disease		E75.2
58	Alexander disease	AxD	
166032	Multiple epiphyseal dysplasia, with miniepiphyses		Q77.3
61	Alpha-mannosidosis		E77.1
61	Alpha-mannosidosis	Lysosomal alpha-D-mannosidase deficiency	
166029	Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia		Q77.3
166038	Metaphyseal chondrodysplasia, Kaitila type		Q78.5
93	Aspartylglucosaminuria		E77.1
93	Aspartylglucosaminuria	Aspartylglucosaminidase deficiency	
166035	Brachydactyly-short stature-retinitis pigmentosa syndrome		Q87.8
585	Multiple sulfatase deficiency		E75.2
585	Multiple sulfatase deficiency	Juvenile sulfatidosis, Austin type	
585	Multiple sulfatase deficiency	MSD	
585	Multiple sulfatase deficiency	Mucosulfatidosis	
118	Beta-mannosidosis		E77.1
118	Beta-mannosidosis	Beta-mannosidase deficiency	
141	Canavan disease		E75.2
141	Canavan disease	ACY2 deficiency	
141	Canavan disease	Aminoacylase 2 deficiency	
141	Canavan disease	Aspartoacylase deficiency	
141	Canavan disease	Spongy degeneration of the brain	
166063	Pontocerebellar hypoplasia type 4		Q04.3
166063	Pontocerebellar hypoplasia type 4	Fatal infantile encephalopathy with olivopontocerebellar hypoplasia	
166063	Pontocerebellar hypoplasia type 4	Olivopontocerebellar hypoplasia	
166063	Pontocerebellar hypoplasia type 4	PCH4	
166073	Pontocerebellar hypoplasia type 6		Q04.3
166073	Pontocerebellar hypoplasia type 6	Fatal infantile encephalopathy with mitochondrial respiratory chain defects	
166073	Pontocerebellar hypoplasia type 6	PCH6	
213	Cystinosis		E72.0
213	Cystinosis	Protein defect of cystin transport	
333	Farber disease		E75.2
333	Farber disease	Acid ceramidase deficiency	
333	Farber disease	Farber lipogranulomatosis	
349	Fucosidosis		E77.1
349	Fucosidosis	Alpha-L-fucosidase deficiency	
365	Glycogen storage disease due to acid maltase deficiency		E74.0
