"Id"	"Association"	"Telephone number"	"Email"	"Description"	"Web"
1	"Canadian Fabry Association"			"The CFA was incorporated in 2005 as a non-profit organization to raise awareness and educate the public about Fabry disease, a very rare life-threatening genetic, lysosomal storage disorder. Made up of those who live with and are affected by Fabry disease, the CFA encourages and supports research into the causes, treatment and management of Fabry disease, but most importantly arranges for, coordinates and increases the facilities available for diagnosis, consultation and treatment of those suffering from Fabry disease.The objective of the Canadian Fabry Association is to inspire hope and improve the quality of life for all those affected by Fabry Disease through the support of research, public education, advocacy and awareness. Our vision is to inspire all those affected to “Live Well With Fabry.”"	"https://www.fabrycanada.com/"
2	"Fabry Support & Information Group - FSIG"	" (660) 463-1355"	"info@fabry.org"	"It is the mission of the Fabry Support & Information Group (FSIG) to raise awareness of Fabry disease and its symptoms, to advocate for community needs and to lead the fight for the most effective treatment possible and eventually a cure. FSIG provides a link for the Fabry community to information, each other, the medical community, researchers, the pharmaceutical industry and regulatory authorities. FSIG strives to support affected families and individuals lead fuller lives."	"https://fabry.org/"
3	"National Fabry Disease Foundation"	"1-800-651-9131"	"info@fabrydisease.org"	"The National Fabry Disease Foundation (NFDF) is an organization dedicated to supporting the Fabry disease community. Our five primary functions are assisting with Fabry disease education, facilitating Fabry disease identification to improve Fabry disease recognition and diagnosis, providing various forms of assistance to individuals with Fabry disease, supporting Fabry disease research and promoting advocacy for Fabry disease issues. The NFDF works to increase the level of effort devoted to assisting and supporting people with Fabry disease. It is critically important to educate healthcare providers, families and others to recognize this progressive, destructive and often life-threatening disease earlier in the disease process. "	"https://www.fabrydisease.org/"
4	"FEMEXER"		"info@femexer.org"	"La Federación Mexicana de Enfermedades Raras (FEMEXER) es una alianza no gubernamental y totalmente voluntaria de organizaciones de pacientes, dirigida exclusivamente por pacientes y familiares; representamos a más de 85 organizaciones de pacientes de enfermedades raras en México, con lo que damos cobertura a casi 500 enfermedades raras (EERR) entre la población de nuestro país. La contundencia de esta entidad radica en el conocimiento que tenemos históricamente acerca de las enfermedades raras. Sabemos qué hacer, a quién dirigirnos y cómo apoyar a los pacientes. Es muy importante señalar a esta entidad como aglutinadora de asociaciones de pacientes, con las cuales formamos un centro de gravedad poderoso que atrae las mejores causas. "	"https://www.femexer.org/"
5	"Asociación Nacional Guatemalteca para las enfermedades lisosomales"	"502 23670913"		"Somos un grupo de pacientes, familiares, amigos y profesionales de la salud, involucrados con el tema de las enfermedades de depósito lisosomal que buscamos llegar a nuestros objetivos de salud y calidad de vida y sobre todo lograr que los enfermos de enfermedades de vida y sobre todo lograr que los enfermos de enfermedades huérfanas ya no se sientan huérfanos.Objetivos: Lograr que cada enfermo de enfermedad lisosomal obtenga el tratamiento
médico adecuado.Apoyar a los enfermos, a sus familias y a su entorno para que vivan
una vida plena, saludable, fructífera y armoniosa.Educar a los profesionales de la salud y a la comunidad en general sobre estas condiciones, sus orígenes, consecuencias y tratamientos. Contribuir a una sociedad más sana."	"https://www.angel-lisosomal.org/"
6	"ACOPEL"	"(57) 315 358 8187"	"informacion@acopel.org.co"	"ACOPEL (Asociación Colombiana de Pacientes con Enfermedades de Depósito Lisosomal) es una entidad sin ánimo de lucro, vigilada por la Alcaldía Mayor de Bogotá y fundada en 1997, que tiene como objetivo brindar ayuda a las personas que reciben diagnóstico de Enfermedades de Depósito Lisosomal (EDL) y otras Enfermedades Huérfanas (EH), en la búsqueda de soluciones para un tratamiento integral."	"https://www.acopel.org.co/laweb/"
7	"ABRAFF"	"(19) 98148-6643"	"fabry@fabry.org.br"	"A Associação Brasileira de Pacientes Portadores da Doença de Fabry e seus Familiares (ABRAFF) é uma ong sen fins lucrativos de abrangência nacional. Desde 2003 atua na defesa dos direitos das pessoas acometidas pela doença de Fabry. A ABRAFF atende todo o territorio nacional, através de seus apoiadores e voluntariados ,realmente envolvidos com as causas e necessidades ligadas à doença de Fabry ou raras  levando informação, promover eventos de conscientização, apoiar outras associações com os mesmos fins, ajudar na estruturação    de unidades  públicas de  atendimento, visando com isso diminuir as diferenças e promover a dignidade da pessoa humana e principalmente do portador acometido pela a doença de Fabry."	"https://fabry.org.br/"
8	"AUPEL Uruguay"				"https://www.facebook.com/people/AUPEL-Uruguay/100064320446935/"
9	"Alianza Lisosomal Argentina "	"+54 11 6466-7857"	"alianzalisosomal@gmail.com"		"https://www.facebook.com/alianzalisosomalargentina/"
10	"Fabry Ireland"	"086 044 6952"	"fabryireland@outlook.com"	"Fabry Ireland has been set up as a voluntary group with the aim of providing access to independent information about Fabry disease to patients, families and clinicians, promoting awareness and recognition of this rare condition in Ireland. Going forward, Fabry Ireland also hopes to be able to provide a platform whereby individual and collective patient concerns can be voiced, and to assist in independent research to improve overall patient well being. These objectives are all intended to go some way toward providing equality in terms of access for Fabry patients within the Irish healthcare system."	"https://www.fabryireland.ie/"
11	"MPS Society"	"0345 389 9901"	" mps@mpssociety.org.uk."	"The MPS Society provides support to families affected by rare genetic conditions. We raise money and awareness of these conditions through fundraising, information, research and support. The MPS Society is the only UK charity supporting individuals and families affected by MPS and related diseases. We offer an individual advocacy support service with skilled and experienced staff who can offer you a wide range of support depending on you or your family’s needs.The rarity of these conditions means affected individuals and their families often experience difficulties accessing adequate needs-led support and services in their local area.  We provide a support network promoting awareness and understanding of the diseases and we work in partnership with you and your family as well as developing professional relationships with local health professionals."	"https://mpssociety.org.uk/"
12	"Associação Portuguesa de Doenças do Lisossoma"		"geral@aplisosoma.org"		"https://aplisosoma.org/"
13	"MPS lisosomales"	"93 804 09 59"	"info@mpsesp.org"	"La Asociación MPS España es una entidad sin ánimo de lucro que trabaja día a día para dar a conocer las enfermedades Lisosomales como las Mucopolisacaridosis, la Enfermedad de Fabry y la Enfermedad de Gaucher entre otras. Nuestra misión es dar apoyo a las personas y familias que sufren estas patologías, mejorar su calidad de vida y favorecer su integración social. MPS-LISOSMALES España es la entidad referente que trabaja para los afectados por las enfermedades lisosomales en el ámbito nacional. La entidad está representada por un comité científico, un comité asesor médico y padres con hijos afectados."	"https://www.mpsesp.org/portal1/h_index.php"
14	"Vaincre les Maladies Lysosomales"	"01 69 75 40 30"		"La raison d’être de VML repose sur un objectif ultime : la guérison des personnes atteintes d’une maladie lysosomale.  Dans cette optique la mission première de l’association est de soutenir la recherche scientifique et médicale. Mais nous avons conscience que le temps de la recherche est long. Pour cette raison VML a choisi de développer un axe fort d’information et d’accompagnement pour aider les malades et leur famille à vivre mieux le quotidien avec la maladie. Pour réussir dans ses deux missions principales, VML se doit de réussir sur deux autres axes : la communication et la recherche de fonds. Toutes nos actions visent à assurer la réalisation des missions de l’association. Récurrentes ou ponctuelles, générales ou spécifiques, elles s’inscrivent dans un esprit de continuité de service au bénéfice des malades, enfants ou adultes, et des parents."	"https://www.vml-asso.org/"
15	"Rare Disease Society of South Africa"	"+27 10 594 3844"	"hello@rarediseases.co.za"	"Founded in 2013, Rare Diseases South Africa (RDSA) is a non-profit organisation advocating to ensure that people living with rare diseases and congenital disorders experience greater recognition, support, improved health service and better overall quality of life. Started out of personal need following the diagnosis of organisation founder, Kelly du Plessis' son, it became evident that there was a lack of awareness and support for rare diseases in general in South Africa. "	"https://www.rarediseases.co.za/"
16	"Belgische Organisatie voor Kinderen en volwassenen met een Stofwisselingsziekte vzw"	"0498 70 15 03"	"secretariaat@boks.be"	"BOKS vzw is een koepel-organisatie voor alle stofwisselingsziekten die individueel te zeldzaam zijn om steun en belangstelling van het grote publiek te krijgen. BOKS vzw wil informatie geven en hulp bieden om de levenskwaliteit en –kwantiteit van personen met een stofwisselingsziekte te optimaliseren."	"https://www.boks.be/nl/"
17	"Maladies rares Luxembourg-ALAN"	"(+352) 2021-2022"	"infolineMR{a}alan.lu"	"Fostering an environment for people living with a rare disease to realize their full potential through recognition, equal opportunities and improved quality of life.
To help improve the quality of life of individuals and families affected by a rare disease."	"https://alan.lu/"
18	"Fabry Support & Informatie Groep Nederland- FSIGN"		"fsign@fabry.nl"	"Fabry Support & Informatie Groep Nederland is op 9 maart 2001 opgericht, met als doel patiënten met de ziekte van Fabry te informeren over deze aandoening en met elkaar in contact te brengen.FSIGN tracht dit te bereiken door het verspreiden van informatie over de ziekte, kennisuitwisseling omtrent het omgaan met en de behandeling van de ziekte.Verder tracht de vereniging de kennis van de aandoening te vergroten, zowel bij de patiënten zelf, als bij de behandelaars en wetenschappers. Voor suggesties, vragen of om lid of donateur te worden van FSIGN kunt u contact met ons opnemen."	"https://fabry.nl/"
19	"Fabrysuisse"			"Fabrysuisse fördert den Informationsaustausch zwischen Betroffenen und medizinischem Fachpersonal. Die Patientinnen und Patienten finden einfachen Zugang zu medizinischen Informationen. Ein kranker Mensch ohne die richtige Diagnose wird von seiner Umgebung oft nicht verstanden. Der Erfahrungsaustausch unter den Betroffenen hilft Isolationen aufzubrechen und erleichtert den täglichen Umgang mit der Krankheit. Fabrysuisse hilft Kranke zu erreichen und zu informieren. Die Organisation ist durch die gemeinsame Initiative von Patientinnen, Patienten und der Ärzteschaft entstanden."	"https://www.fabrysuisse.ch/de/home.html"
20	"Associazione Italiana Anderson-Fabry"	"388 887 9469"	"info@aiaf-onlus.org"	"Nata nel 2016 dall’unione di AIPAF (Associazione Italiana Pazienti Anderson-Fabry) e GIPF (Gruppo Italiano Pazienti Fabry), AIAF APS è vicina ai pazienti Fabry e ai loro familiari per migliorarne la qualità della vita. Si adopera per sconfiggere la solitudine del malato raro a partire dal delicato momento della diagnosi e offre consulenze per la gestione della terapia e della quotidianità. Attiva azioni per fare rete a vantaggio della comunità dei pazienti e si fa portavoce dei loro bisogni. Finanzia e supporta la ricerca e la cura. Promuove azioni di informazione e sensibilizzazione per aumentare la conoscenza della patologia."	"https://www.aiaf-malattiadifabry.org/"
21	"Morbus Fabry Selbsthilfegruppe e.V"	"93 76 488"	"info@fabry-shg.de"	"Die Morbus Fabry Selbsthilfegruppe e.V. (MFSH e.V.) hat sich zum Ziel gesetzt, die medizinisch-soziale Versorgung von Morbus Fabry Patienten und ihren Angehörigen zu fördern. Dazu organisiert die MFSH Patiententreffen zum Erfahrungsaustausch zwischen Betroffenen und Angehörigen von Gesundheitsberufen, besucht Informationsveranstaltungen und nimmt an wissenschaftliche Tagungen, Kongressen sowie Fortbildungen teil. Ferner sollen wissenschaftliche Arbeiten auf dem Gebiet gefördert und gesammelt werden. Darüber hinaus werden die Interessen des Vereins gegenüber Patienten, Kostenträgern, Politik, Standesvertretungen, Ärzten und Krankenhäusern vertreten. An konkreten Hilfen bieten wir betroffenen Patienten und deren Angehörigen eine umfassende telefonische Beratung."	"https://fabry-shg.org/"
22	"Fabry Patientforening Denmark"		"info@fabry.dk "	"Foreningen blev dannet i 2002, og dens formål er at viderebringe information om Fabry fra både ind- og udland, vidensdeling, rådgivning, erfaringsudveksling og hjælp til patienter og pårørende."	"https://fabry.dk/"
23	"Fabry Foreningen Norge"	"+47 47297251"	"anita.kjersheim@norpost.net"	"Vi jobber for å spre kunnskap om og kjennskap til Fabry, samt å gjøre det enklere for nydiagnostiserte personer og deres pårørende å finne frem til riktig informasjon. Foreningen ble dannet i 2002 og vi arbeider også for å skape møtearenaer for berørte."	"https://fabry.no/"
24	"Fabryföreningen i Sverige"		"info@fabry.se"	"Föreningen är en ideell förening vars ändamål är att stödja personer med Fabrys sjukdom och deras närmast anhöriga i den mån de påverkas. Föreningen ska främja utvecklingen tillgodo för patienter med Fabrys sjukdom."	"https://fabry.se/"
25	"MORBUS FABRY SELBSTHILFEGRUPPE"		"info@morbus-fabry.eu"	"Unser Verein richtet sich an Morbus-Fabry-Patienten und Interessierte, die mehr über die seltene Krankheit erfahren möchten. Die Krankheit ist so selten, dass die Schwierigkeit für Mediziner darin besteht, erst einmal den entsprechenden Verdacht zu hegen. Die Symptome sind sehr vielfältig und unspezifisch. Oft vergehen 15 Jahre bis zur Diagnose Morbus Fabry. Es gibt mehrere Therapiemöglichkeiten, die je nach Krankheitsverlauf eingesetzt werden. In den Morbus-Fabry-Zentren werden Sie beraten, ob und welche Therapie für Sie in Frage kommt. Die Morbus Fabry Selbsthilfegruppe dient als Plattform für den Erfahrungsaustausch, zum Verbreiten von Wissen über die seltene Krankheit und damit auch zur Früherkennung. Was passiert, wenn Patienten die Diagnose Morbus Farbry erhalten? Was ist zu unternehmen?"	"https://morbus-fabry.eu/"
26	"Croatioan Alliance for Rare Diseases"	"01 2441 393"	"rijetke.bolesti@gmail.com"	"HRVATSKI SAVEZ ZA RIJETKE BOLESTI (HSRB) je socijalno-humanitarna, nestranačka i neprofitna udruga u koju se dobrovoljno udružuju udruge s članovima oboljelim od rijetkih bolesti, pojedinci oboljeli od rijetkih bolesti te osobe s invaliditetom nastalim kao posljedica rijetke bolesti, u jedinstvenu zajednicu na području Republike Hrvatske, a u svrhu ostvarivanja, usklađivanja i zaštite njihovih pojedinačnih i zajedničkih prava i interesa. Savez predstavlja svoje članove u promicanju humanosti, socijalne uključenosti, unapređenja liječenja, istraživanja, rehabilitacije i zaštite osoba oboljelih od rijetkih bolesti u Hrvatskoj i svijetu. Kroz svakodnevne aktivnosti, Savez pruža potrebnu podršku svojim pacijentima-članovima, izravno putem telefona ili e-maila, te putem lobiranja za njihova prava na ispravne informacije, dostupnost liječenja i socijalnih usluga. Savez  je krovna organizacija koja okuplja postojeće organizacije pacijenata koji boluju od rijetkih bolesti i pacijenata koji zbog svog malog broja nisu mogli ujediniti i riješiti svoje probleme zajedno. Radeći zajedno, želimo pružiti kvalitetnu medicinsku i psihosocijalnu skrb za osobe koje boluju od rijetkih bolesti kroz donošenje Nacionalnog programa za rijetke bolesti. Nadalje, želimo olakšati pristup postojećim lijekovima, razviti centre izvrsnosti za određene bolesti i/ili grupe bolesti, omogućiti hrvatskim pacijentima sudjelovanje u međunarodnim medicinskim istraživanjima i pružiti psihološku podršku obitelji te smanjiti socijalnu isključenost ljudi s rijetkim bolestima."	"https://rijetke-bolesti.com/"
27	"META - spolek pacientů se střádavými onemocněními"	"+420 731 664 602"	"katerina.uhlikova@seznam.cz"	"Staráme se o pacienty se vzácnými střádavými onemocněními, ke kterým řadíme Fabryho a Gaucherovu chorobu, Pompeho nemoc a Mukopolysacharidózu. Poskytujeme informace o nemocích i jejich léčbě. Náš spolek pomáhá pacientům vyrovnat se s onemocněním a nalézt způsob, jak s ním žít. Činnost našeho spolku významně přispívá ke zlepšení života nemocných i jejich rodin a blízkých přátel."	"https://www.sdruzenimeta.cz/"
28	"Stowarzyszenie Rodzin z Chorobą Fabry’ego"		"stowarzyszenie@fabry.org.pl"	"Stowarzyszenie Rodzin z Chorobą Fabry’ego powstało we Wrocławiu w sierpniu 2002 roku. Od samego początku cele istnienia Stowarzyszenia były proste i skupiały się przede wszystkim wokół zdobycia większej wiedzy na temat choroby Fabry’ego, zrzeszenia osób na nią cierpiących oraz na wszelkich działaniach mających na celu pomoc osobom chorym.W pierwszych latach działalności świadomość chorób rzadkich, takich jak choroba Fabry’ego, w Polsce była bardzo niewielka. Całe grono założycielskie, na czele z ówczesnym prezesem Romanem Michalikiem, przecierało ścieżki, szukało kontaktów oraz nawiązywało współpracę z innymi organizacjami. W roku 2004 staliśmy się członkami Krajowego Forum na rzecz terapii Chorób Rzadkich „Orphan”, a w roku 2006 – międzynarodowej organizacji Fabry International Network."	"https://fabry.org.pl/"
